rank,método,PMID,inclusion,exclusion
1,propio (LMT),20920291,no cumple 2o,
2,propio (LMT),11437596,no cumple 2o,
3,propio (LMT),16963553,cumple,
4,propio (LMT),28974620,no cumple 1 y 2,
5,propio (LMT),27271655,cumple,
6,propio (LMT),20352123,cumple,
1,Best Match (PubMed),26048245,no cumple 1,
2,Best Match (PubMed),27809318,no cumple 1,
3,Best Match (PubMed),28934591,no cumple 1 y 2,
4,Best Match (PubMed),24854488,no cumple 1 y 2,
5,Best Match (PubMed),23712350,no cumple 1 y 2,
6,Best Match (PubMed),21677750,no cumple 1 y 2,
