,file,condEval,best,arguments,err,tted,rae,rrse,cci,cci%,ici,ici%,kapa,mae,rmse,ti,vp,fp,p,vn,fn,n,n_tpr,n_fpr,n_precision,n_recall,n_f,n_mcc,n_roc,n_prc,p_tpr,p_fpr,p_precision,p_recall,p_f,p_mcc,p_roc,p_prc,wa_tpr,wa_fpr,wa_precision,wa_recall,wa_f,wa_mcc,wa_roc,wa_prc,t_cci,t_cci%,t_ici,t_ici%,t_kappa,t_mae,t_rmse,t_ti,t_vp,t_fp,t_p,t_vn,t_fn,t_n,t_n_tpr,t_n_fpr,t_n_precision,t_n_recall,t_n_f,t_n_mcc,t_n_roc,t_n_prc,t_p_tpr,t_p_fpr,t_p_precision,t_p_recall,t_p_f,t_p_mcc,t_p_roc,t_p_prc,t_wa_tpr,t_wa_fpr,t_wa_precision,t_wa_recall,t_wa_f,t_wa_mcc,t_wa_roc,t_wa_prc,algoritmo,t_d_cci%
0,sa1500_train_NM1_WV_1_1500min.model,"tiempo (1500 min)-
selección de
palabras", weka.classifiers.meta.AdaBoostM1," [-P, 100, -I, 3, -Q, -S, 1, -W, weka.classifiers.functions.SMO, --, -C, 1.497127934461264, -N, 2, -K, weka.classifiers.functions.supportVector.RBFKernel -G 0.03980605102447401]",0.0808080808080808,0.048,25.7336,50.3911,91,91.9192,8,8.0808,0.8095,0.1147,0.2376,99,26,7,1,65,1,0,0.985,0.212,0.903,0.985,0.942,0.818,0.967,0.971,0.788,0.015,0.963,0.788,0.867,0.818,0.967,0.933,0.919,0.146,0.923,0.919,0.917,0.818,0.967,0.958,18,66.6667,9,33.3333,0.3077,0.312,0.5155,27,6,3,1,12,6,0,0.667,0.333,0.8,0.667,0.727,0.316,0.756,0.844,0.667,0.333,0.5,0.667,0.571,0.316,0.756,0.522,0.667,0.333,0.7,0.667,0.675,0.316,0.756,0.737,AdaBoostM1,-25.2525
1,sa_train_NM2_WV_1.model,"selección
de palabras", weka.classifiers.functions.SGD," [-F, 0, -L, 0.08816344729062749, -R, 0.49907666434264697, -N, -M]",0.0606060606060606,0.024,13.6027,52.222,93,93.9394,6,6.0606,0.8594,0.0606,0.2462,99,28,5,1,65,1,0,0.985,0.152,0.929,0.985,0.956,0.863,0.917,0.925,0.848,0.015,0.966,0.848,0.903,0.863,0.917,0.87,0.939,0.106,0.941,0.939,0.938,0.863,0.917,0.906,21,77.7778,6,22.2222,0.55,0.2222,0.4714,27,8,1,1,13,5,0,0.722,0.111,0.929,0.722,0.813,0.577,0.806,0.856,0.889,0.278,0.615,0.889,0.727,0.577,0.806,0.584,0.778,0.167,0.824,0.778,0.784,0.577,0.806,0.765,SGD,-16.1616
2,train_NM1_WV_1_60.arff,"sin
optimizar", weka.classifiers.trees.RandomTree," [-M, 4, -K, 7, -depth, 0, -N, 0, -U]",0.0909090909090909,0.024,24.5928,49.6513,91,91.9192,8,8.0808,0.8182,0.1096,0.2341,99,29,4,1,62,4,0,0.939,0.121,0.939,0.939,0.939,0.818,0.978,0.987,0.879,0.061,0.879,0.879,0.879,0.818,0.978,0.944,0.919,0.101,0.919,0.919,0.919,0.818,0.978,0.972,23,85.1852,4,14.8148,0.6471,0.1764,0.3468,27,6,3,1,17,1,0,0.944,0.333,0.85,0.944,0.895,0.657,0.886,0.918,0.667,0.056,0.857,0.667,0.75,0.657,0.886,0.736,0.852,0.241,0.852,0.852,0.846,0.657,0.886,0.857,RandomTree,-6.73400000000001
3,best_train_LMT.arff,mejor, weka.classifiers.trees.LMT," [-B, -M, 4, -W, 0, -A]",0,0.255,37.6267,52.9687,94,94.9495,5,5.0505,0.8855,0.1676,0.2497,99,30,3,1,64,2,0,0.97,0.091,0.955,0.97,0.962,0.886,0.963,0.969,0.909,0.03,0.938,0.909,0.923,0.886,0.963,0.96,0.949,0.071,0.949,0.949,0.949,0.886,0.963,0.966,25,92.5926,2,7.4074,0.8333,0.1683,0.2873,27,8,1,1,17,1,0,0.944,0.111,0.944,0.944,0.944,0.833,0.926,0.969,0.889,0.056,0.889,0.889,0.889,0.833,0.926,0.813,0.926,0.093,0.926,0.926,0.926,0.833,0.926,0.917,LMT,-2.3569
4,sa1500_train_NM3_WV_1_1500min.model,"tiempo (1500 min)-
selección de
palabras", weka.classifiers.functions.SMO," [-C, 0.56555523105068, -N, 1, -K, weka.classifiers.functions.supportVector.RBFKernel -G 0.023469149510486523]",0.0606060606060606,0.024,13.6027,52.222,93,93.9394,6,6.0606,0.8594,0.0606,0.2462,99,28,5,1,65,1,0,0.985,0.152,0.929,0.985,0.956,0.863,0.917,0.925,0.848,0.015,0.966,0.848,0.903,0.863,0.917,0.87,0.939,0.106,0.941,0.939,0.938,0.863,0.917,0.906,18,66.6667,9,33.3333,0.3077,0.3333,0.5774,27,6,3,1,12,6,0,0.667,0.333,0.8,0.667,0.727,0.316,0.667,0.756,0.667,0.333,0.5,0.667,0.571,0.316,0.667,0.444,0.667,0.333,0.7,0.667,0.675,0.316,0.667,0.652,SMO,-27.2727
5,sa_train_NM1_WV_1.model,"selección
de palabras", weka.classifiers.meta.Bagging," [-P, 37, -I, 100, -S, 1, -W, weka.classifiers.bayes.NaiveBayesMultinomial, --]",0.0606060606060606,0.04,58.5508,66.1745,93,93.9394,6,6.0606,0.8615,0.2609,0.312,99,29,4,1,64,2,0,0.97,0.121,0.941,0.97,0.955,0.862,0.944,0.966,0.879,0.03,0.935,0.879,0.906,0.862,0.944,0.939,0.939,0.091,0.939,0.939,0.939,0.862,0.944,0.957,19,70.3704,8,29.6296,0.4,0.341,0.4348,27,7,2,1,12,6,0,0.667,0.222,0.857,0.667,0.75,0.419,0.796,0.902,0.778,0.333,0.538,0.778,0.636,0.419,0.796,0.676,0.704,0.259,0.751,0.704,0.712,0.419,0.796,0.827,Bagging,-23.569
6,train_NM3_WV_1_60.arff,"sin
optimizar", weka.classifiers.rules.PART," [-M, 7]",0.131313131313131,0.031,51.1812,71.6277,86,86.8687,13,13.1313,0.6929,0.228,0.3377,99,24,9,1,62,4,0,0.939,0.273,0.873,0.939,0.905,0.698,0.833,0.861,0.727,0.061,0.857,0.727,0.787,0.698,0.833,0.714,0.869,0.202,0.868,0.869,0.866,0.698,0.833,0.812,21,77.7778,6,22.2222,0.4706,0.2944,0.4251,27,5,4,1,16,2,0,0.889,0.444,0.8,0.889,0.842,0.478,0.722,0.785,0.556,0.111,0.714,0.556,0.625,0.478,0.722,0.545,0.778,0.333,0.771,0.778,0.77,0.478,0.722,0.705,PART,-9.09090000000001
7,1500_train_NM1_4_1500.model,tiempo (1500 min), weka.classifiers.bayes.NaiveBayesMultinomial, [],0.0202020202020202,0.008,5.8427,28.2224,97,97.9798,2,2.0202,0.9552,0.026,0.133,99,33,0,1,64,2,0,0.97,0,1,0.97,0.985,0.956,1,1,1,0.03,0.943,1,0.971,0.956,1,1,0.98,0.01,0.981,0.98,0.98,0.956,1,1,21,77.7778,6,22.2222,0.55,0.2475,0.4643,27,8,1,1,13,5,0,0.722,0.111,0.929,0.722,0.813,0.577,0.87,0.936,0.889,0.278,0.615,0.889,0.727,0.577,0.87,0.781,0.778,0.167,0.824,0.778,0.784,0.577,0.87,0.884,NaiveBayesMultinomial,-20.202
8,sa1500_train_NM2_WV_1_1500min.model,"tiempo (1500 min)-
selección de
palabras", weka.classifiers.meta.RandomSubSpace," [-I, 34, -P, 0.6701023442244425, -S, 1, -W, weka.classifiers.functions.Logistic, --, -R, 0.7806682240847962]",0.0505050505050505,0.194,33.9484,46.3752,94,94.9495,5,5.0505,0.8837,0.1513,0.2186,99,29,4,1,65,1,0,0.985,0.121,0.942,0.985,0.963,0.886,0.988,0.994,0.879,0.015,0.967,0.879,0.921,0.886,0.988,0.981,0.949,0.086,0.95,0.949,0.949,0.886,0.988,0.989,21,77.7778,6,22.2222,0.55,0.2845,0.4254,27,8,1,1,13,5,0,0.722,0.111,0.929,0.722,0.813,0.577,0.852,0.934,0.889,0.278,0.615,0.889,0.727,0.577,0.852,0.707,0.778,0.167,0.824,0.778,0.784,0.577,0.852,0.858,RandomSubSpace,-17.1717
9,sa_train_NM3_WV_1.model,"selección
de palabras", weka.classifiers.functions.SGD," [-F, 1, -L, 0.0060532205655586865, -R, 1.137453464212664, -M]",0.101010101010101,0.039,47.11,58.5518,89,89.899,10,10.101,0.7656,0.2099,0.276,99,26,7,1,63,3,0,0.955,0.212,0.9,0.955,0.926,0.769,0.975,0.988,0.788,0.045,0.897,0.788,0.839,0.769,0.975,0.952,0.899,0.157,0.899,0.899,0.897,0.769,0.975,0.976,21,77.7778,6,22.2222,0.4375,0.2887,0.3604,27,4,5,1,17,1,0,0.944,0.556,0.773,0.944,0.85,0.472,0.883,0.929,0.444,0.056,0.8,0.444,0.571,0.472,0.883,0.851,0.778,0.389,0.782,0.778,0.757,0.472,0.883,0.903,SGD,-12.1212
