,variable,indice,par,stat,wilcox_p,fdrbh_p,holm_p,bonfer_p
0,timeTrain,t_wa_tpr,30-120,585,0.206105957827871,0.366085510338626,0.618317873483612,0.618317873483612
1,timeTrain,t_wa_tpr,30-60,643,0.476945945492955,0.476945945492955,0.618317873483612,1
2,timeTrain,t_wa_tpr,120-60,592.5,0.244057006892417,0.366085510338626,0.618317873483612,0.732171020677251
0,timeTrain,t_wa_fpr,30-120,585,0.206105957827871,0.366085510338626,0.618317873483612,0.618317873483612
1,timeTrain,t_wa_fpr,30-60,643,0.476945945492955,0.476945945492955,0.618317873483612,1
2,timeTrain,t_wa_fpr,120-60,592.5,0.244057006892417,0.366085510338626,0.618317873483612,0.732171020677251
0,timeTrain,t_wa_precision,30-120,629,0.415018686124791,0.488490118211412,1,1
1,timeTrain,t_wa_precision,30-60,645,0.488490118211412,0.488490118211412,1,1
2,timeTrain,t_wa_precision,120-60,625.5,0.39972658290763,0.488490118211412,1,1
0,timeTrain,t_wa_recall,30-120,585,0.206105957827871,0.366085510338626,0.618317873483612,0.618317873483612
1,timeTrain,t_wa_recall,30-60,643,0.476945945492955,0.476945945492955,0.618317873483612,1
2,timeTrain,t_wa_recall,120-60,592.5,0.244057006892417,0.366085510338626,0.618317873483612,0.732171020677251
0,timeTrain,t_wa_f,30-120,550.5,0.130198683750852,0.358193999457109,0.390596051252557,0.390596051252557
1,timeTrain,t_wa_f,30-60,620.5,0.37766834951949,0.37766834951949,0.477591999276145,1
2,timeTrain,t_wa_f,120-60,586,0.238795999638073,0.358193999457109,0.477591999276145,0.716387998914218
0,timeTrain,t_wa_mcc,30-120,617,0.361704459933967,0.433543794448274,0.886875507929149,1
1,timeTrain,t_wa_mcc,30-60,633,0.433543794448274,0.433543794448274,0.886875507929149,1
2,timeTrain,t_wa_mcc,120-60,601,0.295625169309716,0.433543794448274,0.886875507929149,0.886875507929149
0,timeTrain,t_wa_roc,30-120,623,0.391064816024368,0.455079460531738,1,1
